ARREST_PRECINCT, Median_Income ,Income_PrecinctID
1," $113,191.00 ",1
5," $113,191.00 ",2
6," $138,272.00 ",3
7," $36,982.00 ",4
9," $118,161.00 ",5
10," $138,272.00 ",6
13," $132,988.00 ",7
14," $92,840.00 ",8
17," $131,045.00 ",9
18," $103,792.00 ",10
19," $122,169.00 ",11
20," $61,414.00 ",12
22," $61,414.00 ",13
23," $33,720.00 ",14
24," $91,624.00 ",15
25," $29,799.00 ",16
26," $51,938.00 ",17
28," $51,938.00 ",18
30," $122,969.00 ",19
32," $42,348.00 ",20
33," $53,660.00 ",21
34," $63,093.00 ",22
40," $21,447.00 ",23
41," $29,284.00 ",24
42," $29,579.00 ",25
43," $33,498.00 ",26
44," $29,579.00 ",27
45," $75,617.00 ",28
46," $29,767.00 ",29
47," $58,393.00 ",30
48," $29,767.00 ",31
49," $58,305.00 ",32
50," $58,408.00 ",33
52," $39,372.00 ",34
60," $32,549.00 ",35
61," $54,023.00 ",36
62," $56,911.00 ",37
63," $69,385.00 ",38
66," $73,470.00 ",39
67," $58,257.00 ",40
68," $50,191.00 ",41
69," $70,793.00 ",42
70," $53,070.00 ",43
71," $59,820.00 ",44
72," $61,200.00 ",45
73," $26,521.00 ",46
75," $42,403.00 ",47
76," $99,643.00 ",48
77," $44,831.00 ",49
78," $119,375.00 ",50
79," $81,228.00 ",51
81," $56,900.00 ",52
83," $53,303.00 ",53
84," $129,248.00 ",54
88," $58,872.00 ",55
90," $81,228.00 ",56
94," $93,488.00 ",57
100," $60,569.00 ",58
101," $50,267.00 ",59
102," $68,920.00 ",60
103," $62,148.00 ",61
104," $75,340.00 ",62
105," $78,368.00 ",63
106," $76,868.00 ",64
107," $67,642.00 ",65
108," $79,883.00 ",66
109," $40,786.00 ",67
110," $54,211.00 ",68
111," $87,892.00 ",69
112," $84,713.00 ",70
113," $64,087.00 ",71
114," $76,234.00 ",72
115," $60,659.00 ",73
120," $62,052.00 ",74
121," $91,505.00 ",75
122," $80,834.00 ",76
123," $85,103.00 ",77
