LAW_CODE,LAW_CAT_CD,Law_ID
PL 1401500,M,1
PL 1200001,M,2
PL 1252501,F,3
PL 1552500,M,4
VTL0511001,M,5
PL 2211001,M,6
PL 1205001,M,7
PL 2210500,V,8
PL 1200501,F,9
PL 1701501,F,10
PL 1450502,F,11
PL 1655000,F,12
VTL1212000,M,13
COR0168E04,F,14
PL 1554001,F,15
PL 2650201,F,16
PL 2200300,M,17
PL 1701004,F,18
PL 1401000,M,19
PL 1601001,F,20
PL 1701003,F,21
PL 1601503,F,22
PL 2403002,M,23
PL 2601001,M,24
PL 1553005,F,25
VTL1192U2C,M,26
PL 1211200,F,27
PL 2205003,M,28
PL 1651503,M,29
PL 1200502,F,30
PL 2214000,M,31
PL 1650501,M,32
VTL11920U3,M,33
PL 1702000,M,34
PL 160102A,F,35
PL 1402501,F,36
PL 1202000,M,37
PL 2203901,F,38
PL 215510B,F,39
PL 1211100,M,40
PL 1201300,F,41
PL 1553501,F,42
VTL0511002,M,43
VTL051101A,M,44
PL 2602400,M,45
PL 1402000,F,46
PL 2155003,M,47
PL 2155100,F,48
PL 265101B,F,49
PL 24030M1,M,50
PL 1452000,F,51
PL 2154002,F,52
PL 2211500,M,53
PL 2300000,M,54
PL 1601502,F,55
PL 1204501,M,56
PL 1700500,M,57
PL 1553004,F,58
PL 1200800,F,59
PL 160102B,F,60
PL 1303501,F,61
PL 1303504,F,62
PL 2450000,M,63
PL 2155500,M,64
PL 1456002,M,65
PL 1651502,M,66
PL 1450500,F,67
PL 1450001,M,68
PL 1202500,F,69
VTL06002AD,F,70
PL 140100A,M,71
PL 2205002,M,72
PL 2650102,M,73
PL 1200002,M,74
PL 1201401,M,75
PL 2650101,M,76
VTL05110A4,M,77
VTL05110A2,M,78
PL 1650503,M,79
PL 1600500,F,80
PL 265031B,F,81
LOC00000AM,M,82
PL 2201601,F,83
PL 1702500,F,84
VTL06000AA,M,85
VTL11920U2,M,86
VTL05110E2,F,87
PL 2403102,F,88
PL 2101500,F,89
PL 145004A,M,90
VTL0511003,F,91
VTL030600B,I,92
PL 1302503,F,93
PL 2651007,M,94
PL 1201001,F,95
PL 1651600,M,96
PL 2155002,M,97
PL 2053000,M,98
AM 0353000,M,99
PL 170703A,F,100
PL 12005A3,F,101
PL 1553001,F,102
PL 215510A,F,103
PL 1200512,F,104
PL 1200600,F,105
PL 1302502,F,106
VTL0509001,I,107
PL 2155600,F,108
PL 2201801,F,109
PL 2200604,F,110
VTL11920D2,F,111
PL 2201803,F,112
PL 2200912,F,113
LOC000000V,V,114
PL 13052A2,M,115
PL 1205003,M,116
PL 140100E,M,117
PL 1200507,F,118
PL 1305001,F,119
PL 2200601,F,120
PL 2204500,M,121
PL 140200H,F,122
PL 140251B,F,123
PL 1201002,F,124
VTL0512000,M,125
PL 1601504,F,126
PL 13052A1,M,127
PL 1553008,F,128
VTL037502A,I,129
